Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,FTR
10/08/2018,Man United,Leicester,2,1,8,13,6,4,H
11/08/2018,Bournemouth,Cardiff,2,0,12,10,4,1,H
11/08/2018,Fulham,Crystal Palace,0,2,15,10,6,9,A
11/08/2018,Huddersfield,Chelsea,0,3,6,13,1,4,A
11/08/2018,Newcastle,Tottenham,1,2,15,15,2,5,A
11/08/2018,Watford,Brighton,2,0,19,6,5,0,H
11/08/2018,Wolves,Everton,2,2,11,6,4,5,D
12/08/2018,Arsenal,Man City,0,2,9,17,3,8,A
12/08/2018,Liverpool,West Ham,4,0,18,5,8,2,H
12/08/2018,Southampton,Burnley,0,0,18,16,3,6,D
18/08/2018,Cardiff,Newcastle,0,0,12,12,1,6,D
18/08/2018,Chelsea,Arsenal,3,2,24,15,11,6,H
18/08/2018,Everton,Southampton,2,1,13,15,7,4,H
18/08/2018,Leicester,Wolves,2,0,6,11,2,3,H
18/08/2018,Tottenham,Fulham,3,1,25,10,11,3,H
18/08/2018,West Ham,Bournemouth,1,2,11,12,5,5,A
19/08/2018,Brighton,Man United,3,2,6,9,3,3,H
19/08/2018,Burnley,Watford,1,3,8,9,3,6,A
19/08/2018,Man City,Huddersfield,6,1,32,5,14,1,H
20/08/2018,Crystal Palace,Liverpool,0,2,8,16,2,6,A
