Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,FTR
25/08/2018,Arsenal,West Ham,3,1,17,13,10,5,H
25/08/2018,Bournemouth,Everton,2,2,17,11,5,3,D
25/08/2018,Huddersfield,Cardiff,0,0,5,14,1,4,D
25/08/2018,Liverpool,Brighton,1,0,22,6,8,2,H
25/08/2018,Southampton,Leicester,1,2,11,8,5,5,A
25/08/2018,Wolves,Man City,1,1,11,18,2,6,D
26/08/2018,Fulham,Burnley,4,2,25,12,12,2,H
26/08/2018,Newcastle,Chelsea,1,2,6,15,2,3,A
26/08/2018,Watford,Crystal Palace,2,1,13,9,5,3,H
27/08/2018,Man United,Tottenham,0,3,23,9,5,5,A
